ID,Vulnerability description,Location,Module,Type,Threat,Time
1,XX enterprise multi-platform vehicles exist in remote control keys to re -put loophole,In-vehicle,Radio,Replay,Critical,2024/4/29
2,The XX enterprise platform vehicle exists in the remote control key to re -put the loophole,In-vehicle,Radio,Replay,Critical,2024/4/29
3,XX enterprise PCMS Admin project management background weak order order,Outside-vehicle,Cloud platform,Weak password,Low,2024/4/29
4,XX enterprise automobile Webkit kernel component vulnerability,In-vehicle,IVI,File accessing,High,2024/4/29
5,XX enterprise automobile Existing vehicle Access System UWB logic defect,In-vehicle,Radio,Relay,Low,2024/4/26
6,XX enterprise automobile Wireless Communication Module Interface Insufficient Protection,In-vehicle,T-Box,Unauthorized accessing,Medium,2024/4/25
7,XX corporate platform exists in XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2024/4/17
8,XX enterprise automotive IVI Software Rate,In-vehicle,IVI,Privilege escalation,High,2024/4/12
9,XX corporate platform exists in XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2024/4/17
10,XX enterprise Platform File Reading Vulnerability,Outside-vehicle,Cloud platform,File traversal,Low,2024/4/10
11,XX enterprise automobile SIT test environment exists in NACOS identity certification to bypass the vulnerability,Outside-vehicle,Cloud platform,Identity spoofing,High,2024/3/27
12,XX enterprise automobile and vehicle Internet APP exists in any account login vulnerability,Outside-vehicle,APP,Unauthorized accessing,High,2024/3/21
13,XX enterprise automobile OSS key leak loopholes,Outside-vehicle,Cloud platform,Information leakage,High,2024/3/20
14,XX enterprise automobile has any serious vulnerability in any remote control vehicle,Outside-vehicle,Cloud platform,Unauthorized accessing,Critical,2024/3/19
15,The complaint system in the XX enterprise automobile Control APP leaks the user information of the whole site,Outside-vehicle,APP,Information leakage,Medium,2024/3/15
16,XX enterprise automobile Control APP China Customer Service System Audio and Video Project takes over,Outside-vehicle,APP,Unauthorized accessing,Medium,2024/3/15
17,XX enterprise automobile Control APP-Chat Composition Discover User Information,Outside-vehicle,APP,Information leakage,Medium,2024/3/15
18,XX enterprise automotive Cars opens the trunk through USB,In-vehicle,IVI,USB,Low,2024/3/15
19,The FTPSERVER of XX enterprise automobile IVI has information leakage vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2024/3/14
20,XX enterprise automobile TBOX_M2M_UA service exists in the stack overflow vulnerability,In-vehicle,T-Box,Buffer overflow,Low,2024/3/14
21,XX enterprise automobile Mileage Information Discovery,Outside-vehicle,APP,Information leakage,Low,2024/3/14
22,XX enterprise automotive App PIN Code Blasting Super Dangerous Vulnerability,Outside-vehicle,APP,Weak password,Low,2024/3/14
23,XX enterprise car vehicle parking picture leakage,Outside-vehicle,APP,Information leakage,High,2024/3/14
24,XX enterprise automobile M2M_UA_ Reject Service Vulnerability,In-vehicle,T-Box,Buffer overflow,Low,2024/3/14
25,XX enterprise automobile M2M_UA_ multiple pile overflow vulnerabilities,In-vehicle,T-Box,Buffer overflow,Low,2024/3/14
26,XX enterprise automobile Existing the Vulnerability of User Files on the whole station,Outside-vehicle,APP,Information leakage,Low,2024/3/14
27,XX enterprise car user group or tribal information leakage and overweight operation,Outside-vehicle,APP,Information leakage,Medium,2024/3/14
28,XX enterprise automotive vehicle Air Conditioning Temperature Queens,Outside-vehicle,APP,Unauthorized accessing,Low,2024/3/13
