ID,Vulnerability description,Location,Module,Type,Threat,Time,Attack surfaces,Skills,US EPA size classifications,SAE international level,Car models
1,XX enterprise multi-platform vehicles exist in remote control keys to re -put loophole,In-vehicle,Radio,Replay,Critical,2024-4-29,2,Signal interception,Mid-Size car,l2,German
2,The XX enterprise platform vehicle exists in the remote control key to re -put the loophole,In-vehicle,Radio,Replay,Critical,2024-4-29,2,Signal interception,Mid-Size car,l2,German
3,XX enterprise PCMS Admin project management background weak order order,Outside-vehicle,Cloud platform,Weak password,Low,2024-4-29,3,Penetration testing,Standard SUV,l3,German
4,XX enterprise automobile Webkit kernel component vulnerability,In-vehicle,IVI,File accessing,High,2024-4-29,1,Penetration testing,,-,-
5,XX enterprise automobile Existing vehicle Access System UWB logic defect,In-vehicle,Radio,Relay,Low,2024-4-26,2,Signal interception,Mid-Size car,l2,German
6,XX enterprise automobile Wireless Communication Module Interface Insufficient Protection,In-vehicle,T-Box,Unauthorized accessing,Medium,2024-4-25,1,Traffic analysis,,-,-
7,XX corporate platform exists in XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2024-4-17,3,Penetration testing,Small SUV,l2,Chinese
8,XX enterprise automotive IVI Software Rate,In-vehicle,IVI,Privilege escalation,High,2024-4-12,1,Reverse engineering,,-,-
9,XX corporate platform exists in XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2024-4-17,3,Penetration testing,Small SUV,l2,Chinese
10,XX enterprise Platform File Reading Vulnerability,Outside-vehicle,Cloud platform,File traversal,Low,2024-4-10,3,Penetration testing,Standard SUV,l2,Chinese
11,XX enterprise automobile SIT test environment exists in NACOS identity certification to bypass the vulnerability,Outside-vehicle,Cloud platform,Identity spoofing,High,2024-3-27,3,Penetration testing,Standard SUV,l2,Chinese
12,XX enterprise automobile and vehicle Internet APP exists in any account login vulnerability,Outside-vehicle,APP,Unauthorized accessing,High,2024-3-21,3,Penetration testing,,-,-
13,XX enterprise automobile OSS key leak loopholes,Outside-vehicle,Cloud platform,Information leakage,High,2024-3-20,3,Penetration testing,,-,-
14,XX enterprise automobile has any serious vulnerability in any remote control vehicle,Outside-vehicle,Cloud platform,Unauthorized accessing,Critical,2024-3-19,3,Penetration testing,Large car,l2,Chinese
15,The complaint system in the XX enterprise automobile Control APP leaks the user information of the whole site,Outside-vehicle,APP,Information leakage,Medium,2024-3-15,3,Traffic analysis,,-,-
16,XX enterprise automobile Control APP China Customer Service System Audio and Video Project takes over,Outside-vehicle,APP,Unauthorized accessing,Medium,2024-3-15,3,Penetration testing,,-,-
17,XX enterprise automobile Control APP-Chat Composition Discover User Information,Outside-vehicle,APP,Information leakage,Medium,2024-3-15,3,Traffic analysis,,-,-
18,XX enterprise automotive Cars opens the trunk through USB,In-vehicle,IVI,USB,Low,2024-3-15,1,Signal interception,,-,-
19,The FTPSERVER of XX enterprise automobile IVI has information leakage vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2024-3-14,1,Port scanning,Standard SUV,l2,Chinese
20,XX enterprise automobile TBOX_M2M_UA service exists in the stack overflow vulnerability,In-vehicle,T-Box,Buffer overflow,Low,2024-3-14,1,Penetration testing,,-,-
21,XX enterprise automobile Mileage Information Discovery,Outside-vehicle,APP,Information leakage,Low,2024-3-14,3,Traffic analysis,Standard SUV,l3,Chinese
22,XX enterprise automotive App PIN Code Blasting Super Dangerous Vulnerability,Outside-vehicle,APP,Weak password,Low,2024-3-14,3,Penetration testing,Standard SUV,l3,Chinese
23,XX enterprise car vehicle parking picture leakage,Outside-vehicle,APP,Information leakage,High,2024-3-14,3,Traffic analysis,Standard SUV,l3,Chinese
24,XX enterprise automobile M2M_UA_ Reject Service Vulnerability,In-vehicle,T-Box,Buffer overflow,Low,2024-3-14,1,Penetration testing,,-,-
25,XX enterprise automobile M2M_UA_ multiple pile overflow vulnerabilities,In-vehicle,T-Box,Buffer overflow,Low,2024-3-14,1,Penetration testing,,-,-
26,XX enterprise automobile Existing the Vulnerability of User Files on the whole station,Outside-vehicle,APP,Information leakage,Low,2024-3-14,3,Traffic analysis,Standard SUV,l3,Chinese
27,XX enterprise car user group or tribal information leakage and overweight operation,Outside-vehicle,APP,Information leakage,Medium,2024-3-14,3,Traffic analysis,Standard SUV,l3,Chinese
28,XX enterprise automotive vehicle Air Conditioning Temperature Queens,Outside-vehicle,APP,Unauthorized accessing,Low,2024-3-13,3,Traffic analysis,Standard SUV,l3,Chinese
29,XX enterprise automotive Search Interface Editory Get a lot of user sensitive information vulnerabilities,Outside-vehicle,APP,Information leakage,Low,2024-3-13,3,Traffic analysis,Large car,l2,Chinese
30,XX enterprise automotive Group Member List Interface Over the right to obtain user sensitive information vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,Low,2024-3-13,3,Traffic analysis,Large car,l2,Chinese
31,XX enterprise automotive Super Dangerous vehicle Information Discovery,Outside-vehicle,APP,Information leakage,High,2024-3-13,3,Traffic analysis,Standard SUV,l3,Chinese
32,XX enterprise automotive Battery Automatic Power Supplement Options more right to modify,Outside-vehicle,APP,Unauthorized accessing,Medium,2024-3-13,3,Traffic analysis,Standard SUV,l3,Chinese
33,XX enterprise automobile has the more power to obtain the sensitive vulnerability of the vehicle,Outside-vehicle,APP,Unauthorized accessing,High,2024-3-13,3,Traffic analysis,Large car,l2,Chinese
34,XX enterprise automobile has any serious vulnerability in any remote control vehicle,Outside-vehicle,APP,Unauthorized accessing,Critical,2024-3-13,3,Penetration testing,Large car,l2,Chinese
35,XX enterprise automobile Finding Friends Interface User Information Discovery,Outside-vehicle,APP,Information leakage,Low,2024-3-13,3,Traffic analysis,Standard SUV,l3,Chinese
36,XX enterprise automobile vehicle Installation Any Software Vulnerability,In-vehicle,IVI,Arbitrary software installation,Low,2024-3-12,1,Reverse engineering,,-,-
37,XX enterprise automotive Cars Open ADB Vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-12,1,Port scanning,,-,-
38,XX enterprise automotive Enter the engineering mode vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-12,1,Port scanning,,-,-
39,XX enterprise automobile Extraorded to Privacy Settings,Outside-vehicle,APP,Unauthorized accessing,Low,2024-3-12,3,Traffic analysis,Mid-Size car,l2,Chinese
40,XX enterprise automobile vehicle has unauthorized obtaining vehicle information vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,Medium,2024-3-12,3,Traffic analysis,Large car,l2,Chinese
41,XX enterprise automotive Local LOG leaks vehicle driving record and other sensitive information,In-vehicle,T-Box,Information leakage,Low,2024-3-12,1,Reverse engineering,,-,-
42,XX enterprise automotive APP leak car maintenance record,Outside-vehicle,APP,Information leakage,Medium,2024-3-12,3,Traffic analysis,Mid-Size car,l2,Chinese
43,XX enterprise automobile M2M_UA stack overflow of remote command execution vulnerabilities,In-vehicle,T-Box,Buffer overflow,Low,2024-3-11,1,Penetration testing,,-,-
44,XX enterprise car keyless start relay attack start vehicle,In-vehicle,Radio,Relay,Medium,2024-3-11,2,Signal interception,Large car,l2,Chinese
45,XX enterprise automotive vehicle Information Extra the right to obtain loopholes,Outside-vehicle,APP,Information leakage,Medium,2024-3-11,3,Traffic analysis,Large car,l2,Chinese
46,XX enterprise automobile DNS Reject Service (CVE-2017-14496),In-vehicle,IVI,DoS,Low,2024-3-11,1,Port scanning,,-,-
47,XX enterprise automobile DNS Reject Service (CVE-2017-14495),In-vehicle,IVI,DoS,Low,2024-3-11,1,Port scanning,,-,-
48,XX enterprise automobile DNS Reject Service (CVE-2017-14493),In-vehicle,IVI,DoS,Low,2024-3-11,1,Port scanning,,-,-
49,XX enterprise automotive Gateway ROOT Permanent Permanent Permanent Password,In-vehicle,ECU,Weak password,Medium,2024-3-11,1,Port scanning,,-,-
50,XX enterprise automotive Movement illegal acquisition of gateway ROOT permissions,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-11,1,Penetration testing,,-,-
51,XX enterprise automobile's own browser exists in any file to read the vulnerability,In-vehicle,IVI,File accessing,Low,2024-3-11,1,Penetration testing,Large car,l2,Chinese
52,XX enterprise automobile Remote ADB debugging,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-11,3,Port scanning,,-,-
53,XX enterprise Car Keyless Starters Starts Reessor Attack,In-vehicle,Radio,Relay,Medium,2024-3-11,2,Signal interception,Large car,l2,Chinese
54,XX enterprise Car Keyless Starters Starts Reessor Attack,In-vehicle,Radio,Relay,Medium,2024-3-11,2,Signal interception,Large car,l2,Chinese
55,XX supplier cloud platform exists in SQL injection that can cause the ADB authorization system to fail,Outside-vehicle,Cloud platform,SQL injection,Medium,2024-3-11,3,Penetration testing,,-,-
56,The XX enterprise car DOIPSERVER exists in refusal service vulnerabilities,In-vehicle,IVI,DoS,Low,2024-3-9,1,Port scanning,Mid-Size car,l2,Chinese
57,XX enterprise automotive Browser IVI Ren File Read,In-vehicle,IVI,File accessing,Low,2024-3-9,1,Penetration testing,Standard SUV,l2,Chinese
58,XX enterprise automobile APP has data leakage vulnerabilities,Outside-vehicle,APP,Information leakage,High,2024-3-8,3,Traffic analysis,Mid-Size car,l2,Chinese
